iso3;iso2;imfn;country;region;income;year;ai01;ai02;ai03;ai04;ai05;ai06;ai07;ai08;ai09;ai10;ai11;ai12;ai13;ai14;ai17;ai18;ai19;ai20;ai21;ai22;ai23;ai24;ai25;ai26;ai27;ai28;ai29;ai30;ai31;ai32;ai33;ai34;ai35;ai36;am01;am02;am03;di01;di02;di03;di04;di05;di06;di07;di08;di09;di10;di11;di12;di13;di14;dm01;dm02;dm03;dm04;dm05;dm06;dm07;dm08;dm09;dm10;dm11;dm12;dm13;dm14;dm15;dm16;ei01;ei02;ei03;ei04;ei05;ei06;ei07;ei08;ei09;ei10;em01;si01;si02;si03;si04;si05;si06;si07;sm01;oi01;oi02;oi06;oi07;oi08;oi09;oi10;oi11;oi12;oi13;oi14;oi15;oi16;oi16a;oi17;oi18;oi19;oi20a;om01;om02
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39.48;;;;;;;;;;;;;;;;;;4.60;;;;;;1.20;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39.45;;;;;;;;;;;;;;;;;;3.72;;;;;;3.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.79;;;;;;;;;;;;;;;;;;3.54;;;;;;1.37;;;;;;;;;;;;;;;;;;;;;;1.84;;;;;;0;;;
ABW;AW;314;Aruba;Latin America & Caribbean;High income;1989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.37;;;;;;;;;;;;;;;;;;3.78;;;;;;1.63;;;;;;;;;;;;;;;;;;;;;;5.61;;;;;;0;;;
